id	bacterial_strain	organism_type	experiment	replicate	sampling_date	day_in_experiment	unreliable_pop_size	notes	OD600	pred_cells_ml	pred_corrected								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	18/02/2019	1190	no	NA	0.266	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	25/02/2019	1197	no	NA	0.253	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	04/03/2019	1204	no	NA	NA	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	11/03/2019	1211	no	NA	NA	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	18/03/2019	1218	no	NA	NA	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	16/11/2015	0	no	NA	NA	10000	5000								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	14/12/2015	28	no	NA	NA	92400	46200								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	11/01/2016	56	no	NA	NA	44000	22000								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	08/02/2016	84	no	NA	NA	68400	34200								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	07/03/2016	112	no	NA	NA	56400	28200								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	03/04/2016	139	no	NA	NA	48400	24200								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	04/05/2016	170	no	NA	NA	26000	13000								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	30/05/2016	196	no	NA	NA	46400	23200								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	27/06/2016	224	no	NA	NA	66500	33250								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	25/07/2016	252	no	NA	NA	105200	52600								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	22/08/2016	280	no	NA	NA	13600	6800								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	19/09/2016	308	no	NA	NA	72400	36200								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	17/10/2016	336	no	NA	NA	60800	30400								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	14/11/2016	364	no	NA	NA	120800	60400								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	12/12/2016	392	no	NA	NA	96000	48000								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	09/01/2017	420	no	NA	NA	141600	70800								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	06/02/2017	448	no	NA	NA	124400	62200								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	06/03/2017	476	no	NA	NA	90000	45000								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	13/03/2017	483	no	NA	NA	96000	48000								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	03/04/2017	504	no	NA	NA	54000	27000								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	01/05/2017	532	yes	NA	NA	36400	18200								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	29/05/2017	560	no	NA	NA	154000	77000								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	26/06/2017	588	no	NA	NA	229200	114600								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	24/07/2017	616	no	NA	NA	126400	63200								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	21/08/2017	644	no	NA	NA	198400	99200								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	18/09/2017	672	no	NA	NA	153200	76600								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	17/10/2017	701	no	NA	NA	76800	38400								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	14/11/2017	729	no	NA	NA	264000	132000								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	12/12/2017	757	no	NA	NA	260000	130000								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	09/01/2018	785	no	NA	NA	171600	85800								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	06/02/2018	813	no	NA	NA	230800	115400								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	06/03/2018	841	no	NA	NA	209600	104800								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	03/04/2018	869	no	NA	NA	190400	95200								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	01/05/2018	897	no	NA	NA	234000	117000								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	29/05/2018	925	yes	NA	NA	162000	81000								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	26/06/2018	953	no	NA	NA	250000	125000								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	24/07/2018	981	no	NA	NA	198400	99200								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	21/08/2018	1009	no	NA	NA	93600	93600								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	18/09/2018	1037	no	NA	NA	78000	78000								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	16/10/2018	1065	no	NA	NA	80800	80800								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	13/11/2018	1093	no	NA	NA	82000	82000								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	11/12/2018	1121	no	NA	NA	50400	50400								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	08/01/2019	1149	yes	NA	NA	103600	103600								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	14/01/2019	1155	yes	NA	NA	88800	88800								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	21/01/2019	1162	no	NA	NA	45200	45200								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	28/01/2019	1169	no	NA	NA	86800	86800								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	04/02/2019	1176	no	NA	NA	74800	74800								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	11/02/2019	1183	no	NA	NA	67200	67200								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	18/02/2019	1190	no	NA	NA	94400	94400								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	25/02/2019	1197	no	NA	NA	81200	81200								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	04/03/2019	1204	no	NA	NA	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	11/03/2019	1211	no	NA	NA	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	1	18/03/2019	1218	no	NA	NA	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	16/11/2015	0	no	NA	0.000	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	14/12/2015	28	no	NA	0.197	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	11/01/2016	56	no	NA	0.173	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	08/02/2016	84	no	NA	0.184	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	07/03/2016	112	no	NA	0.196	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	03/04/2016	139	no	NA	0.108	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	04/05/2016	170	no	NA	0.150	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	30/05/2016	196	no	NA	0.168	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	27/06/2016	224	no	NA	0.187	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	25/07/2016	252	no	NA	0.228	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	22/08/2016	280	no	NA	0.184	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	19/09/2016	308	no	NA	0.168	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	17/10/2016	336	no	NA	0.184	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	14/11/2016	364	no	NA	0.196	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	12/12/2016	392	no	NA	0.204	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	09/01/2017	420	no	NA	0.185	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	06/02/2017	448	no	NA	0.155	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	06/03/2017	476	no	NA	0.180	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	13/03/2017	483	no	NA	0.190	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	03/04/2017	504	no	NA	0.180	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	01/05/2017	532	yes	NA	0.106	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	2	29/05/2017	560	no	NA	0.209	NA	NA								
