Species,Treatment,Medium,Replicate,Timepoint,Isolate,Ratio
BD,CoEvo,KB,R2,TP2,7,0.5735754839369156
BD,CoEvo,KB,R2,TP2,8,0.6441023365771597
BD,CoEvo,KB,R2,TP2,9,0.5921402185532079
BD,CoEvo,KB,R2,TP2,10,0.6080516054384929
BD,CoEvo,KB,R3,TP1,1,0.5607176218174779
BD,CoEvo,KB,R3,TP1,2,0.5455021949927849
BD,CoEvo,KB,R3,TP1,3,0.5151757353524875
BD,CoEvo,KB,R3,TP1,4,0.9573757086015225
BD,CoEvo,KB,R3,TP1,5,0.9509424277914251
BD,CoEvo,KB,R3,TP1,6,0.9471668444627134
BD,CoEvo,KB,R3,TP1,7,0.5413612326322623
BD,CoEvo,KB,R3,TP1,8,0.5393342489557881
BD,CoEvo,KB,R3,TP1,9,0.8973100056220523
BD,CoEvo,KB,R3,TP1,10,0.9108812268035967
BD,CoEvo,KB,R3,TP2,1,0.9048394235275823
BD,CoEvo,KB,R3,TP2,2,0.9083583715839507
BD,CoEvo,KB,R3,TP2,3,0.9075754165157847
BD,CoEvo,KB,R3,TP2,4,0.4609256486293393
BD,CoEvo,KB,R3,TP2,5,0.9712905600629845
BD,CoEvo,KB,R3,TP2,6,0.9686720103350068
BD,CoEvo,KB,R3,TP2,7,0.45063848898371345
BD,CoEvo,KB,R3,TP2,8,0.8965487993057798
BD,CoEvo,KB,R3,TP2,9,1.0005817791131513
BD,CoEvo,KB,R3,TP2,10,0.49644136047142595
BD,Evo,KCl,R1,TP1,1,1.2147177955200241
BD,Evo,KCl,R1,TP1,2,1.0394546444640533
BD,Evo,KCl,R1,TP1,3,1.0619643808464068
BD,Evo,KCl,R1,TP1,4,1.081766711908213
BD,Evo,KCl,R1,TP1,5,0.9809973693753714
BD,Evo,KCl,R1,TP1,6,1.1997443793580427
BD,Evo,KCl,R1,TP1,7,0.9975914487571571
BD,Evo,KCl,R1,TP1,8,1.2125773860781253
BD,Evo,KCl,R1,TP1,9,2.924886039734599
BD,Evo,KCl,R1,TP1,10,1.2592269719939473
BD,Evo,KCl,R1,TP2,1,1.1567330169968828
BD,Evo,KCl,R1,TP2,2,1.6603056816530766
BD,Evo,KCl,R1,TP2,3,1.6514888957400893
BD,Evo,KCl,R1,TP2,4,1.6068946698843685
BD,Evo,KCl,R1,TP2,5,1.4715055039943679
BD,Evo,KCl,R1,TP2,6,1.1643354867364308
BD,Evo,KCl,R1,TP2,7,1.3598876403167144
BD,Evo,KCl,R1,TP2,8,1.8830689124428426
BD,Evo,KCl,R1,TP2,9,1.1551690533649435
BD,Evo,KCl,R1,TP2,10,1.6360335330812568
BD,Evo,KCl,R2,TP1,1,3.2317631091219012
BD,Evo,KCl,R2,TP1,2,1.6020893798128206
BD,Evo,KCl,R2,TP1,3,1.0640197409065086
BD,Evo,KCl,R2,TP1,4,1.4092777063126725
BD,Evo,KCl,R2,TP1,5,1.223425907222937
BD,Evo,KCl,R2,TP1,6,2.543444287339337
BD,Evo,KCl,R2,TP1,7,1.2809618140088146
BD,Evo,KCl,R2,TP1,8,1.112219115557304
BD,Evo,KCl,R2,TP1,9,3.104888331342942
BD,Evo,KCl,R2,TP1,10,1.177329142288797
BD,Evo,KCl,R2,TP2,1,0.9309647080502784
BD,Evo,KCl,R2,TP2,2,0.9485037805631451
BD,Evo,KCl,R2,TP2,3,0.9809737445470946
BD,Evo,KCl,R2,TP2,4,1.2235912810208762
BD,Evo,KCl,R2,TP2,5,1.1140571271972566
BD,Evo,KCl,R2,TP2,6,0.5808731027786342
